City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mulanje,-16.0316,35.5,27.45,45,52,1.89,MW,1700845901
1,elne,42.6003,2.9715,17.17,64,0,8.75,FR,1700845901
2,adamstown,-25.066,-130.1015,21.91,76,97,8.15,PN,1700845902
3,klyuchi,52.2667,79.1667,2.63,97,100,9.18,RU,1700845903
4,keflavik,64.0049,-22.5624,3.24,93,100,9.77,IS,1700845903
5,carnarvon,-24.8667,113.6333,21.46,78,0,6.43,AU,1700845904
6,faya-largeau,17.9257,19.1043,27.83,15,87,1.72,TD,1700845905
7,puerto natales,-51.7236,-72.4875,14.25,47,0,4.12,CL,1700845906
8,qui nhon,13.7667,109.2333,24.09,77,100,7.44,VN,1700845906
9,hawaiian paradise park,19.5933,-154.9731,22.24,95,20,0.0,US,1700845907
10,black point,-34.6187,137.8972,15.4,88,90,4.13,AU,1700845908
11,lihue,21.9789,-159.3672,21.87,92,40,2.57,US,1700845908
12,hithadhoo,-0.6,73.0833,27.64,78,95,3.76,MV,1700845909
13,sola,-13.8833,167.55,25.35,69,100,7.02,VU,1700845910
14,olonkinbyen,70.9221,-8.7187,-2.05,56,100,3.18,SJ,1700845911
15,potiskum,11.7091,11.0694,30.04,25,78,2.81,NG,1700845911
16,waitangi,-43.9535,-176.5597,12.68,96,82,1.34,NZ,1700845912
17,hamilton,39.1834,-84.5333,7.21,71,75,6.17,US,1700845268
18,port-aux-francais,-49.35,70.2167,5.23,81,53,11.06,TF,1700845686
19,nouadhibou,20.931,-17.0347,22.99,64,0,8.23,MR,1700845914
20,hasaki,35.7333,140.8333,9.22,50,98,11.04,JP,1700845915
21,port elizabeth,-33.918,25.5701,19.62,86,97,2.24,ZA,1700845916
22,blackmans bay,-43.0167,147.3167,13.62,92,84,1.0,AU,1700845917
23,tralee,52.2704,-9.7026,9.14,93,75,1.54,IE,1700845918
24,tura,25.5198,90.2201,18.08,84,1,1.3,IN,1700845919
25,papatowai,-46.5619,169.4708,4.45,78,4,1.79,NZ,1700845920
26,ushuaia,-54.8,-68.3,13.79,95,100,2.62,AR,1700845874
27,dakhla,23.6848,-15.958,19.8,80,0,8.25,EH,1700845921
28,pechora,65.1472,57.2244,-10.08,95,100,1.34,RU,1700845922
29,papao,-17.75,-149.55,26.82,88,100,12.04,PF,1700845923
30,yellowknife,62.456,-114.3525,-12.18,93,35,3.23,CA,1700845924
31,cockburn town,21.4612,-71.1419,27.03,79,53,7.98,TC,1700845925
